number,title,tune
409,Wild and lone the prophet's voice,
410,Yee jun ae Joo Nim eul nae ka mol la (When I had not yet learned of Jesus),
411,"Arise, your light is come!",
412,"Eternal God, whose power upholds",
413,All who love and serve your city,
414,As those of old their firstfruits brought,
415,"Come, labor on",
416,Christ is made the sure foundation,
417,Christ is made the sure foundation,
418,"God, bless your church with strength!",
419,"How clear is our vocation, Lord",
420,God of grace and God of glory,
421,The church of Christ in every age,
422,"God, whose giving knows no ending",
423,Jesus shall reign where'er the sun,
424,"O Jesus Christ, may grateful hymns be rising",
425,"Lord of light, Your name outshining",
426,"Lord, speak to me, that I may speak",
427,"Lord, whose love through humble service",
428,We give Thee but Thine own,
429,"Lord, you give the great commission",
430,"Come sing, O church, in joy!",
431,"O Lord, You gave Your servant John",
432,"¡Dios de la esperanza, danos gozo y paz! (May the God of hope go with us every day)",
433,There's a spirit in the air,
434,Today we all are called to be Disciples of the Lord,
435,We all are one in mission,
436,We are Your people,
437,"Our cities cry to you, O God",
438,Blest be the tie that binds,
439,In Christ there is no east or west,
440,In Christ there is no east or west,
441,"I love Thy kingdom, Lord",
442,The church's one foundation,
443,"O Christ, the great foundation",
444,We gather here to bid farewell,
445,The chariot rode on the mountain top,
446,Glorious things of Thee are spoken,
447,"Lead on, O King eternal",
448,"Lead on, O King eternal",
449,You will hear the trumpet sound,
450,O day of peace that dimly shines,
451,Ye watchers and ye holy ones,
452,"O day of God, draw nigh",
453,"O holy city, seen of John",
454,"Blessed Jesus, at Your word",
455,All creatures of our God and King,
456,"Awake, my soul, and with the sun",
457,"I greet Thee, who my sure Redeemer art",
458,Earth and all stars,
459,"Father, we praise Thee, now the night is over",
460,"Holy God, we praise Your name",
461,God is here! As we your people,
462,"Christ, whose glory fills the skies",
463,"Christ, whose glory fills the skies",
464,"Joyful, joyful, we adore Thee",
465,"Here, O Lord, Your servants gather",
466,O for a thousand tongues to sing,
467,Joo ha nah min jee eu shin mo dun she geh (O Lord my God! when I in awesome wonder),
468,The heavens are not too high,
469,Morning has broken,
470,O day of radiant gladness,
471,O praise the gracious power,
472,"Cantad al Señor im cántico nuevo (O sing to the Lord, O sing God a new song)",
473,For the beauty of the earth,
474,O splendor of God's glory bright,
475,O that I had a thousand voices,
476,"O worship the King, all glorious above",
477,"Ye servants of God, your Master proclaim",
478,"Praise, my soul, the King of heaven",
479,"Praise, my soul, the God of heaven",
480,Praise our God above,
481,"Praise the Lord, God's glories show",
482,"Praise ye the Lord, the Almighty",
483,"Sing praise to God, who reigns above",
484,Let all our hearts open up to the Lord God,
485,"To God be the glory, great things He hath done",
486,When the morning stars together,
487,When morning gilds the skies,
488,The God of Abraham praise,
489,Open now thy gates of beauty,
490,"With glad, exuberant carolings",
491,Stand up and bless the Lord,
492,Baptized in water,
493,"Dearest Jesus, we are here",
494,"Out of deep, unordered water",
495,We know that Christ is raised and dies no more,
496,"Lord Jesus Christ, our Lord most dear",
497,With grateful hearts our faith professing,
498,"Child of blessing, child of promise",
499,"Wonder of wonders, here revealed",
500,Become to us the living bread,
501,"Bread of heaven, on Thee we feed",
502,Bread of the world in mercy broken,
503,"Come, risen Lord and deign to be our guest",
504,Draw us in the Spirit's tether,
505,Be known to us in breaking bread,
506,"Deck yourself, my soul, with gladness",
507,I come with joy to meet my Lord,
508,For the bread which you have broken,
509,For the bread which you have broken,
510,"Jesus, Thou joy of loving hearts",
511,"Jesus, Thou joy of loving hearts",
512,Living Word of God eternal,
513,Let us break bread together on our knees,
514,Let us talents and tongues employ,
515,Now to Your table spread,
516,"Lord, we have come at Your own invitation",
517,We come as guests invited,
518,Una espiga dorada  por el sol (Sheaves of summer turned golden by the sun),
519,"Thee we adore, O hidden Savior, Thee",
520,"Here, O our Lord, we see You face to face",
521,As when the shepherd calls his sheep,
522,"Lord, when I came into this life",
